top_k,centroid_sim,nn_recall_80,nn_precision_80,nn_f1_80,nn_recall_90,nn_precision_90,nn_f1_90,nn_recall_95,nn_precision_95,nn_f1_95
1,0.5744,0.2252,0.6691,0.2944,0.2251,0.6691,0.2941,0.2227,0.6619,0.2905
5,0.6879,0.3709,0.6174,0.4237,0.3685,0.6123,0.4201,0.3685,0.6097,0.4185
10,0.696,0.3871,0.6041,0.4313,0.3857,0.5991,0.4286,0.3857,0.5967,0.4271
20,0.6986,0.3925,0.6007,0.433,0.3911,0.5959,0.4302,0.3911,0.5935,0.4287
50,0.7008,0.3965,0.5998,0.4351,0.3954,0.5949,0.4325,0.3954,0.5924,0.4308
100,0.7015,0.3979,0.5994,0.4357,0.3963,0.5945,0.433,0.3963,0.5921,0.4314
200,0.7017,0.3985,0.5993,0.4356,0.3968,0.5943,0.433,0.3968,0.5919,0.4313
