top_k,centroid_sim,nn_recall_80,nn_precision_80,nn_f1_80,nn_recall_90,nn_precision_90,nn_f1_90,nn_recall_95,nn_precision_95,nn_f1_95
1,0.2689,0.0288,0.0833,0.034,0.0287,0.0764,0.0339,0.0287,0.0764,0.0339
5,0.3531,0.1605,0.0712,0.0567,0.1593,0.0629,0.0542,0.1593,0.0629,0.0542
10,0.3606,0.2194,0.0654,0.0618,0.2181,0.0565,0.0581,0.2181,0.0565,0.0581
20,0.3644,0.2936,0.0589,0.0611,0.2913,0.0502,0.0569,0.2913,0.0502,0.0569
50,0.3682,0.4065,0.0534,0.0612,0.4,0.0447,0.0551,0.4,0.0447,0.0551
100,0.3701,0.4956,0.0501,0.0601,0.4891,0.0414,0.0539,0.4891,0.0414,0.0539
200,0.3709,0.5474,0.0485,0.0611,0.5361,0.0398,0.0549,0.5361,0.0398,0.0549
