K,overlap_at_K,weighted_overlap_at_K,surface_match_at_K,surface_weighted_match_at_K
5,0.07331909176378762,0.12049533244040164,0.05927084893300865,0.09839312494952353
10,0.13235672132571313,0.20415707613562606,0.11328679975896362,0.17402563699811513
15,0.17640296834200708,0.2605292570749882,0.1459467976434177,0.2141267430050295
20,0.20375306402379645,0.29447814561261143,0.17159808451795433,0.2526923042792666
50,0.30542000992671015,0.42910702353254415,0.2492895689167927,0.3416376538721076
100,0.4063471574395495,0.528358333633359,0.340339976384894,0.4382033743206537
200,0.48192238037890456,0.5990074312581348,0.410787337658478,0.5121799449881023
400,0.4898789791147535,0.6118715817322623,0.43636801772595163,0.5401107110586119
