quartile,mean_H_human,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
Q1,1.0644,0.153,0.2433,0.3625,0.4934,0.5835,0.2868,0.4071,0.5519,0.7371,0.7717
Q2,1.9723,0.0825,0.1565,0.2266,0.3259,0.4268,0.1226,0.2231,0.311,0.4354,0.5368
Q3,2.4924,0.0411,0.0849,0.1469,0.2507,0.3606,0.052,0.1247,0.1964,0.3198,0.4636
Q4,3.1965,0.0166,0.0446,0.0791,0.1516,0.2545,0.0206,0.0618,0.1186,0.2241,0.3413
