quartile,mean_H_human,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
Q1,1.0644,0.3693,0.4252,0.4308,0.4347,0.4347,0.7117,0.7427,0.7441,0.7457,0.7457
Q2,1.9723,0.2525,0.284,0.2871,0.2882,0.2882,0.4622,0.4856,0.4879,0.4887,0.4887
Q3,2.4924,0.1508,0.1675,0.1738,0.1807,0.1854,0.2786,0.2917,0.2958,0.2996,0.3054
Q4,3.1965,0.0902,0.1023,0.1121,0.1224,0.1255,0.2023,0.2199,0.2433,0.2536,0.2549
